Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,6.200000,6.200000,6.200000,6.200000,6.200000,56846
2023-06-06,6.210000,6.210000,6.200000,6.200000,6.200000,219337
2023-06-07,6.200000,6.200000,6.200000,6.200000,6.200000,7900
2023-06-08,6.200000,6.200000,6.150000,6.150000,6.150000,5940
2023-06-12,6.150000,6.170000,6.150000,6.170000,6.170000,19197
2023-06-13,6.200000,6.300000,6.200000,6.290000,6.290000,186939
2023-06-14,6.300000,6.300000,6.200000,6.200000,6.200000,26843
2023-06-15,6.250000,6.250000,6.250000,6.250000,6.250000,371113
2023-06-16,6.290000,6.300000,6.290000,6.300000,6.300000,110569
2023-06-20,6.540000,6.610000,6.540000,6.600000,6.600000,141427
2023-06-21,6.550000,6.550000,6.450000,6.550000,6.550000,304769
2023-06-22,6.550000,6.550000,6.550000,6.550000,6.550000,19253
2023-06-23,6.550000,6.550000,6.500000,6.500000,6.500000,9935
2023-06-26,6.500000,6.500000,6.400000,6.400000,6.400000,25559
2023-06-27,6.300000,6.300000,6.250000,6.250000,6.250000,198752
2023-06-28,6.260000,6.260000,6.250000,6.250000,6.250000,53082
2023-06-29,6.250000,6.250000,6.250000,6.250000,6.250000,0
2023-06-30,6.250000,6.260000,6.250000,6.260000,6.260000,25332
2023-07-03,6.260000,6.260000,6.250000,6.250000,6.250000,8555
2023-07-05,6.200000,6.210000,6.200000,6.200000,6.200000,97542
2023-07-06,6.200000,6.200000,6.200000,6.200000,6.200000,12311
2023-07-07,6.250000,6.400000,6.250000,6.400000,6.400000,50085
2023-07-10,7.000000,7.120000,7.000000,7.100000,7.100000,256707
2023-07-11,7.100000,7.130000,7.000000,7.130000,7.130000,138060
2023-07-12,7.150000,7.150000,7.130000,7.150000,7.150000,209231
2023-07-13,7.160000,7.170000,7.150000,7.150000,7.150000,220305
2023-07-14,7.150000,7.170000,7.150000,7.170000,7.170000,31316
2023-07-17,7.120000,7.150000,7.120000,7.130000,7.130000,20866
2023-07-18,7.150000,7.150000,7.100000,7.130000,7.130000,58375
2023-07-19,7.100000,7.100000,7.100000,7.100000,7.100000,11142
2023-07-20,7.100000,7.110000,7.100000,7.110000,7.110000,19029
2023-07-21,7.100000,7.100000,7.080000,7.100000,7.100000,148857
2023-07-24,7.100000,7.100000,7.000000,7.050000,7.050000,18076
2023-07-25,7.000000,7.070000,6.900000,7.050000,7.050000,279168
2023-07-26,7.050000,7.050000,7.000000,7.030000,7.030000,199694
2023-07-27,7.000000,7.000000,7.000000,7.000000,7.000000,6300
2023-07-28,7.000000,7.000000,7.000000,7.000000,7.000000,0
2023-07-31,7.000000,7.100000,7.000000,7.100000,7.100000,87551
2023-08-01,7.080000,7.250000,6.990000,7.250000,7.250000,311491
2023-08-02,7.100000,7.300000,7.100000,7.300000,7.300000,2419932
2023-08-03,6.980000,6.980000,6.910000,6.910000,6.910000,10527
2023-08-04,7.000000,7.150000,7.000000,7.100000,7.100000,627313
2023-08-07,7.100000,7.100000,7.100000,7.100000,7.100000,47639
2023-08-08,6.760000,6.760000,6.500000,6.590000,6.590000,203199
2023-08-09,6.590000,6.600000,6.500000,6.500000,6.500000,121436
2023-08-10,6.500000,6.510000,6.400000,6.400000,6.400000,151544
2023-08-11,6.450000,6.450000,6.400000,6.400000,6.400000,52895
2023-08-14,6.450000,6.500000,6.400000,6.400000,6.400000,15865
2023-08-15,6.390000,6.400000,6.390000,6.400000,6.400000,34468
2023-08-16,6.380000,6.400000,6.200000,6.250000,6.250000,559280
2023-08-17,6.350000,6.350000,6.250000,6.300000,6.300000,73827
2023-08-18,6.250000,6.400000,6.200000,6.400000,6.400000,168955
2023-08-21,6.400000,6.400000,6.250000,6.250000,6.250000,53527
2023-08-22,6.300000,6.300000,6.300000,6.300000,6.300000,10034
2023-08-23,6.300000,6.300000,6.300000,6.300000,6.300000,52482
2023-08-24,6.280000,6.280000,6.250000,6.250000,6.250000,440211
2023-08-25,6.250000,6.250000,6.240000,6.250000,6.250000,202038
2023-08-28,6.300000,6.300000,6.300000,6.300000,6.300000,2602
2023-08-29,6.250000,6.350000,6.250000,6.260000,6.260000,4597
2023-08-30,6.260000,6.260000,6.260000,6.260000,6.260000,0
2023-08-31,6.250000,6.350000,6.250000,6.350000,6.350000,228099
2023-09-01,6.350000,6.350000,6.250000,6.350000,6.350000,48957
2023-09-05,6.330000,6.330000,6.250000,6.250000,6.250000,48467
2023-09-06,6.250000,6.250000,6.250000,6.250000,6.250000,1444
2023-09-07,6.250000,6.290000,6.250000,6.250000,6.250000,161638
2023-09-08,6.250000,6.250000,6.250000,6.250000,6.250000,13454
2023-09-11,6.250000,6.250000,6.240000,6.240000,6.240000,321047
2023-09-12,6.240000,6.240000,6.200000,6.200000,6.200000,268840
2023-09-13,6.200000,6.230000,6.200000,6.230000,6.230000,301036
2023-09-14,6.180000,6.250000,6.180000,6.250000,6.250000,55208
2023-09-15,6.250000,6.250000,6.190000,6.190000,6.190000,64332
2023-09-18,6.190000,6.190000,6.190000,6.190000,6.190000,0
2023-09-19,6.190000,6.190000,6.190000,6.190000,6.190000,7540
2023-09-20,6.150000,6.190000,6.150000,6.190000,6.190000,16037
