Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,22.270000,22.740000,21.990000,22.680000,21.670654,17500
2023-06-06,22.620001,23.090000,22.570000,22.840000,21.823534,48500
2023-06-07,22.889999,23.360001,22.580000,23.020000,21.995523,74000
2023-06-08,23.040001,23.580000,23.040001,23.350000,22.310837,84900
2023-06-09,23.219999,23.620001,23.190001,23.330000,22.291725,48900
2023-06-12,23.450001,23.700001,23.389999,23.690001,22.635706,23000
2023-06-13,23.750000,23.770000,23.330000,23.709999,22.654814,36300
2023-06-14,23.740000,23.860001,23.309999,23.549999,22.501934,51400
2023-06-15,23.450001,23.709999,23.400000,23.500000,22.454161,249000
2023-06-16,23.549999,24.520000,23.549999,24.270000,23.189894,135200
2023-06-20,24.570000,24.590000,23.959999,24.080000,23.008348,41700
2023-06-21,24.040001,24.250000,23.910000,24.040001,22.970129,23300
2023-06-22,23.809999,24.059999,23.780001,23.910000,22.845913,33300
2023-06-23,23.840000,23.990000,23.530001,23.780001,22.721701,43400
2023-06-26,24.000000,24.180000,23.730000,24.010000,22.941463,45300
2023-06-27,23.969999,24.264999,23.940001,24.059999,22.989239,60200
2023-06-28,23.910000,24.245001,23.879999,24.150000,23.075233,14700
2023-06-29,24.230000,25.299999,24.230000,24.770000,23.667641,47300
2023-06-30,24.959999,25.230000,24.690001,24.840000,23.734526,85500
2023-07-03,24.940001,25.090000,24.600000,24.600000,23.505207,20500
2023-07-05,24.551001,24.584999,24.379999,24.430000,23.342772,16100
2023-07-06,24.200001,24.200001,23.830000,24.100000,23.027458,12800
2023-07-07,24.180000,24.389999,24.055000,24.139999,23.065678,11700
2023-07-10,24.610001,24.610001,24.070000,24.160000,23.084787,15400
2023-07-11,24.320000,24.639999,24.150000,24.530001,23.438322,15600
2023-07-12,24.670000,24.950001,24.520000,24.549999,23.457430,14700
2023-07-13,24.549999,24.820000,24.370001,24.730000,23.629421,29400
2023-07-14,24.790001,24.889999,24.480000,24.660000,23.562536,15600
2023-07-17,24.570000,25.150000,24.570000,25.049999,23.935179,18400
2023-07-18,25.030001,25.450001,24.799999,24.879999,23.772745,23700
2023-07-19,25.040001,25.145000,24.809999,25.000000,23.887405,21600
2023-07-20,24.930000,25.160000,24.690001,24.990000,23.877850,43200
2023-07-21,25.020000,25.270000,24.700001,25.000000,23.887405,19000
2023-07-24,25.049999,25.600000,24.920000,25.150000,24.030729,25700
2023-07-25,25.260000,25.334999,24.990000,25.040001,23.925625,18800
2023-07-26,24.930000,25.040001,24.750000,24.750000,23.648531,13600
2023-07-27,24.840000,25.059999,24.590000,24.760000,23.658087,7700
2023-07-28,24.780001,25.100000,24.510000,24.920000,23.810965,9500
2023-07-31,24.840000,25.055000,24.420000,24.540001,23.447878,24000
2023-08-01,24.530001,25.400000,24.530001,25.190001,24.068949,19200
2023-08-02,25.010000,25.010000,24.635000,24.680000,23.581646,38100
2023-08-03,24.730000,25.070000,24.549999,24.780001,23.677197,18900
2023-08-04,24.809999,24.980000,24.730000,24.879999,23.772745,7600
2023-08-07,24.910000,25.190001,24.645000,25.030001,23.916071,9700
2023-08-08,24.820000,25.389999,24.820000,25.370001,24.240940,27800
2023-08-09,25.290001,25.290001,24.870001,24.980000,23.868294,51100
2023-08-10,25.194000,25.261000,24.120001,24.280001,23.199448,40300
2023-08-11,24.090000,24.090000,23.520000,23.570000,22.521046,34900
2023-08-14,23.250000,23.610001,22.665001,23.610001,22.559265,56300
2023-08-15,23.340000,23.469999,23.305000,23.430000,22.387276,9500
2023-08-16,23.430000,23.430000,23.200001,23.260000,22.224842,821500
2023-08-17,23.459999,23.480000,23.250000,23.250000,22.215286,19700
2023-08-18,23.230000,23.570000,23.200001,23.450001,22.406387,24400
2023-08-21,23.500000,23.620001,23.389999,23.600000,22.549711,6600
2023-08-22,23.680000,23.680000,23.309999,23.309999,22.272615,9800
2023-08-23,23.360001,23.600000,23.120001,23.500000,22.454161,9000
2023-08-24,23.600000,24.040001,23.570000,23.790001,22.731255,18000
2023-08-25,23.680000,23.750000,23.290001,23.549999,22.501934,12200
2023-08-28,23.570000,23.590000,23.290001,23.350000,22.310837,6000
2023-08-29,23.420000,23.559999,23.120001,23.309999,22.272615,70600
2023-08-30,23.270000,23.445000,23.170000,23.260000,22.224842,7400
2023-08-31,23.180000,23.400000,22.990000,23.330000,22.291725,30600
2023-09-01,23.450001,23.660000,23.385000,23.490000,22.444605,48200
2023-09-05,23.370001,23.600000,22.809999,22.860001,21.842644,32300
2023-09-06,22.879999,23.055000,22.760000,22.990000,21.966858,11500
2023-09-07,22.910000,23.200001,22.620001,22.750000,21.737539,27900
2023-09-08,22.980000,23.100000,22.459999,22.660000,21.651543,24600
2023-09-11,22.750000,23.150000,22.480000,22.540001,21.536884,36700
2023-09-12,22.490000,23.500000,22.379999,23.500000,22.454161,102800
2023-09-13,23.490000,23.740000,23.190001,23.740000,22.683479,32200
2023-09-14,23.809999,24.100000,23.650000,24.010000,22.941463,28900
2023-09-15,24.070000,24.200001,23.770000,24.020000,22.951019,60000
2023-09-18,24.080000,24.160000,23.230000,23.590000,22.540155,126200
2023-09-19,23.510000,24.254000,23.469999,23.620001,22.568821,54400
2023-09-20,23.680000,24.020000,23.635000,24.020000,22.951019,57400
2023-09-21,23.900000,23.990000,23.200001,23.270000,22.234396,53400
2023-09-22,23.379999,23.910000,23.320000,23.620001,22.568821,29000
2023-09-25,23.420000,23.900000,23.170000,23.820000,22.759918,100200
2023-09-26,23.580000,23.969999,22.976999,23.270000,22.234396,68100
2023-09-27,23.450001,23.450001,22.860001,22.990000,21.966858,13400
2023-09-28,23.020000,23.020000,22.700001,22.799999,21.785313,5300
2023-09-29,22.840000,22.844999,22.492001,22.520000,21.517775,15300
2023-10-02,22.680000,22.879999,21.740000,21.910000,20.934921,28400
2023-10-03,21.780001,22.030001,21.700001,21.910000,20.934921,16000
2023-10-04,22.090000,22.320000,21.290001,21.290001,20.342514,20800
2023-10-05,21.270000,21.520000,20.760000,20.830000,19.902987,35900
2023-10-06,20.790001,21.090000,20.500000,21.000000,20.065420,74500
2023-10-09,20.930000,20.990999,20.600000,20.840000,19.912540,23900
2023-10-10,20.709999,21.100000,20.709999,20.950001,20.017647,16100
2023-10-11,21.080000,21.090000,20.770000,20.900000,19.969870,9900
2023-10-12,20.705000,21.100000,20.700001,20.900000,19.969870,38400
2023-10-13,20.805000,20.895000,20.459999,20.490000,19.578117,14800
